id,visit_date,visit_datetime,reserve_datetime,reserve_visitors
db80363d35f10926,1/1/2016,1/1/2016 0:00,1/1/2016 1:00,5
db80363d35f10926,1/2/2016,1/2/2016 1:00,1/1/2016 16:00,2
db80363d35f10926,1/2/2016,1/2/2016 1:00,1/1/2016 15:00,4
db80363d35f10926,1/2/2016,1/2/2016 18:00,1/2/2016 14:00,2
db80363d35f10926,1/2/2016,1/2/2016 18:00,1/2/2016 2:00,3
db80363d35f10926,1/2/2016,1/2/2016 19:00,1/2/2016 2:00,6
db80363d35f10926,1/2/2016,1/2/2016 19:00,1/2/2016 18:00,2
db80363d35f10926,1/2/2016,1/2/2016 21:00,1/2/2016 18:00,4
db80363d35f10926,1/2/2016,1/2/2016 21:00,1/2/2016 18:00,8
db80363d35f10926,1/2/2016,1/2/2016 21:00,1/2/2016 16:00,3
db80363d35f10926,1/3/2016,1/3/2016 18:00,1/2/2016 22:00,5
db80363d35f10926,1/3/2016,1/3/2016 18:00,1/2/2016 20:00,6
db80363d35f10926,1/3/2016,1/3/2016 22:00,1/2/2016 22:00,6
24b9b2a020826ede,1/4/2016,1/4/2016 17:00,1/4/2016 14:00,7
3cad29d1a23209d2,1/6/2016,1/6/2016 18:00,1/6/2016 13:00,4
3cad29d1a23209d2,1/6/2016,1/6/2016 18:00,1/4/2016 14:00,2
3cad29d1a23209d2,1/6/2016,1/6/2016 18:00,1/5/2016 11:00,4
632ba66e1f75aa28,1/6/2016,1/6/2016 19:00,1/6/2016 15:00,2
632ba66e1f75aa28,1/6/2016,1/6/2016 19:00,1/6/2016 15:00,2
db80363d35f10926,1/6/2016,1/6/2016 20:00,1/5/2016 18:00,2
db80363d35f10926,1/6/2016,1/6/2016 20:00,1/4/2016 22:00,3
24b9b2a020826ede,1/7/2016,1/7/2016 17:00,1/6/2016 22:00,5
24b9b2a020826ede,1/7/2016,1/7/2016 17:00,1/6/2016 18:00,2
24b9b2a020826ede,1/8/2016,1/8/2016 16:00,1/4/2016 19:00,10
db80363d35f10926,1/8/2016,1/8/2016 19:00,1/7/2016 22:00,6
db80363d35f10926,1/8/2016,1/8/2016 19:00,1/7/2016 20:00,14
632ba66e1f75aa28,1/8/2016,1/8/2016 20:00,1/8/2016 18:00,2
632ba66e1f75aa28,1/8/2016,1/8/2016 20:00,1/7/2016 18:00,2
632ba66e1f75aa28,1/8/2016,1/8/2016 20:00,1/8/2016 17:00,2
3cad29d1a23209d2,1/8/2016,1/8/2016 21:00,1/6/2016 16:00,2
db80363d35f10926,1/8/2016,1/8/2016 21:00,1/4/2016 19:00,3
632ba66e1f75aa28,1/8/2016,1/8/2016 22:00,1/7/2016 21:00,2
db80363d35f10926,1/9/2016,1/9/2016 1:00,1/8/2016 14:00,5
f068442ebb6c246c,1/9/2016,1/9/2016 8:00,1/6/2016 17:00,2
f068442ebb6c246c,1/9/2016,1/9/2016 8:00,1/6/2016 18:00,5
3cad29d1a23209d2,1/9/2016,1/9/2016 20:00,1/6/2016 20:00,3
3cad29d1a23209d2,1/9/2016,1/9/2016 20:00,1/5/2016 11:00,2
3cad29d1a23209d2,1/9/2016,1/9/2016 20:00,1/9/2016 18:00,2
db80363d35f10926,1/9/2016,1/9/2016 22:00,1/9/2016 11:00,13
24b9b2a020826ede,1/10/2016,1/10/2016 17:00,1/4/2016 15:00,3
3cad29d1a23209d2,1/10/2016,1/10/2016 20:00,1/4/2016 14:00,2
db80363d35f10926,1/10/2016,1/10/2016 22:00,1/3/2016 19:00,37
632ba66e1f75aa28,1/11/2016,1/11/2016 18:00,1/11/2016 17:00,2
db80363d35f10926,1/11/2016,1/11/2016 18:00,1/11/2016 14:00,2
3cad29d1a23209d2,1/11/2016,1/11/2016 20:00,1/10/2016 9:00,2
3cad29d1a23209d2,1/11/2016,1/11/2016 20:00,1/11/2016 0:00,2
24b9b2a020826ede,1/12/2016,1/12/2016 17:00,1/5/2016 17:00,2
24b9b2a020826ede,1/12/2016,1/12/2016 17:00,1/4/2016 1:00,3
db80363d35f10926,1/12/2016,1/12/2016 19:00,1/4/2016 10:00,3
24b9b2a020826ede,1/13/2016,1/13/2016 17:00,1/12/2016 19:00,2
24b9b2a020826ede,1/13/2016,1/13/2016 17:00,1/6/2016 19:00,2
24b9b2a020826ede,1/13/2016,1/13/2016 17:00,1/8/2016 21:00,5
24b9b2a020826ede,1/13/2016,1/13/2016 17:00,1/12/2016 19:00,4
24b9b2a020826ede,1/13/2016,1/13/2016 17:00,1/9/2016 14:00,2
24b9b2a020826ede,1/14/2016,1/14/2016 17:00,1/10/2016 14:00,3
3cad29d1a23209d2,1/14/2016,1/14/2016 21:00,1/14/2016 11:00,4
632ba66e1f75aa28,1/14/2016,1/14/2016 21:00,1/14/2016 17:00,2
db80363d35f10926,1/14/2016,1/14/2016 21:00,1/12/2016 19:00,3
24b9b2a020826ede,1/15/2016,1/15/2016 17:00,1/13/2016 23:00,8
24b9b2a020826ede,1/15/2016,1/15/2016 17:00,1/14/2016 13:00,2
24b9b2a020826ede,1/15/2016,1/15/2016 17:00,1/8/2016 18:00,3
24b9b2a020826ede,1/15/2016,1/15/2016 17:00,1/12/2016 12:00,2
db80363d35f10926,1/15/2016,1/15/2016 18:00,1/7/2016 14:00,9
db80363d35f10926,1/15/2016,1/15/2016 18:00,1/12/2016 23:00,2
db80363d35f10926,1/15/2016,1/15/2016 19:00,1/14/2016 21:00,9
db80363d35f10926,1/15/2016,1/15/2016 19:00,1/15/2016 1:00,4
f068442ebb6c246c,1/15/2016,1/15/2016 19:00,1/14/2016 20:00,4
3cad29d1a23209d2,1/15/2016,1/15/2016 21:00,1/6/2016 19:00,2
632ba66e1f75aa28,1/15/2016,1/15/2016 21:00,1/15/2016 21:00,2
3cad29d1a23209d2,1/15/2016,1/15/2016 22:00,1/9/2016 14:00,4
3cad29d1a23209d2,1/15/2016,1/15/2016 22:00,1/14/2016 11:00,5
24b9b2a020826ede,1/16/2016,1/16/2016 16:00,1/6/2016 18:00,4
24b9b2a020826ede,1/16/2016,1/16/2016 16:00,1/7/2016 20:00,3
24b9b2a020826ede,1/16/2016,1/16/2016 16:00,1/6/2016 12:00,4
24b9b2a020826ede,1/16/2016,1/16/2016 16:00,1/10/2016 20:00,38
24b9b2a020826ede,1/16/2016,1/16/2016 16:00,1/6/2016 17:00,3
632ba66e1f75aa28,1/16/2016,1/16/2016 18:00,1/16/2016 16:00,2
632ba66e1f75aa28,1/16/2016,1/16/2016 18:00,1/16/2016 17:00,4
db80363d35f10926,1/16/2016,1/16/2016 18:00,1/6/2016 23:00,16
db80363d35f10926,1/16/2016,1/16/2016 19:00,1/12/2016 10:00,4
db80363d35f10926,1/16/2016,1/16/2016 19:00,1/16/2016 16:00,3
3cad29d1a23209d2,1/16/2016,1/16/2016 20:00,1/4/2016 16:00,3
3cad29d1a23209d2,1/16/2016,1/16/2016 20:00,1/16/2016 17:00,2
3cad29d1a23209d2,1/16/2016,1/16/2016 20:00,1/14/2016 21:00,2
632ba66e1f75aa28,1/16/2016,1/16/2016 21:00,1/16/2016 17:00,2
24b9b2a020826ede,1/17/2016,1/17/2016 12:00,1/7/2016 22:00,6
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,1
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,1
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,1
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,3
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,1
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,1
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
632ba66e1f75aa28,1/17/2016,1/17/2016 16:00,1/17/2016 0:00,2
3cad29d1a23209d2,1/17/2016,1/17/2016 18:00,1/13/2016 15:00,1
3cad29d1a23209d2,1/17/2016,1/17/2016 21:00,1/15/2016 14:00,2
3cad29d1a23209d2,1/17/2016,1/17/2016 21:00,1/16/2016 21:00,2
24b9b2a020826ede,1/18/2016,1/18/2016 17:00,1/15/2016 11:00,7
24b9b2a020826ede,1/18/2016,1/18/2016 17:00,1/7/2016 17:00,14
3cad29d1a23209d2,1/18/2016,1/18/2016 21:00,1/13/2016 15:00,2
f068442ebb6c246c,1/18/2016,1/18/2016 21:00,1/18/2016 19:00,2
3cad29d1a23209d2,1/18/2016,1/18/2016 22:00,1/13/2016 15:00,5
db80363d35f10926,1/18/2016,1/18/2016 22:00,1/13/2016 11:00,2
24b9b2a020826ede,1/19/2016,1/19/2016 17:00,1/19/2016 15:00,4
24b9b2a020826ede,1/19/2016,1/19/2016 17:00,1/16/2016 15:00,2
24b9b2a020826ede,1/19/2016,1/19/2016 17:00,1/16/2016 17:00,22
db80363d35f10926,1/19/2016,1/19/2016 18:00,1/14/2016 19:00,26
3cad29d1a23209d2,1/19/2016,1/19/2016 19:00,1/19/2016 14:00,2
3cad29d1a23209d2,1/19/2016,1/19/2016 21:00,1/17/2016 11:00,3
24b9b2a020826ede,1/20/2016,1/20/2016 17:00,1/7/2016 21:00,5
24b9b2a020826ede,1/20/2016,1/20/2016 17:00,1/6/2016 19:00,11
632ba66e1f75aa28,1/20/2016,1/20/2016 19:00,1/20/2016 19:00,2
632ba66e1f75aa28,1/20/2016,1/20/2016 19:00,1/20/2016 19:00,2
3cad29d1a23209d2,1/20/2016,1/20/2016 22:00,1/4/2016 15:00,4
3cad29d1a23209d2,1/20/2016,1/20/2016 22:00,1/8/2016 11:00,9
3cad29d1a23209d2,1/20/2016,1/20/2016 22:00,1/15/2016 13:00,2
24b9b2a020826ede,1/21/2016,1/21/2016 16:00,1/18/2016 21:00,6
db80363d35f10926,1/21/2016,1/21/2016 21:00,1/21/2016 18:00,2
3cad29d1a23209d2,1/21/2016,1/21/2016 22:00,1/18/2016 22:00,3
24b9b2a020826ede,1/22/2016,1/22/2016 16:00,1/21/2016 21:00,6
24b9b2a020826ede,1/22/2016,1/22/2016 16:00,1/16/2016 16:00,7
24b9b2a020826ede,1/22/2016,1/22/2016 16:00,1/7/2016 20:00,4
24b9b2a020826ede,1/22/2016,1/22/2016 16:00,1/20/2016 18:00,2
24b9b2a020826ede,1/22/2016,1/22/2016 16:00,1/15/2016 19:00,2
db80363d35f10926,1/22/2016,1/22/2016 18:00,1/19/2016 18:00,18
db80363d35f10926,1/22/2016,1/22/2016 18:00,1/14/2016 20:00,3
db80363d35f10926,1/22/2016,1/22/2016 18:00,1/4/2016 20:00,12
632ba66e1f75aa28,1/22/2016,1/22/2016 19:00,1/21/2016 20:00,2
3cad29d1a23209d2,1/22/2016,1/22/2016 20:00,1/10/2016 21:00,2
3cad29d1a23209d2,1/22/2016,1/22/2016 20:00,1/8/2016 20:00,2
3cad29d1a23209d2,1/22/2016,1/22/2016 20:00,1/15/2016 19:00,2
